Date,Daily New Positive Cases,Daily New Recover Cases,Daily New ICU Cases,Daily New Death,Negative Case,Daily New Result Case,Daily Backlog Clearing %,Daily New Negative Case,Daily Positive Case %,Pending Result Case,Pending Result Case %,Total Case with Result,Total Case Tested,Daily New Sample Tested,Positive Case %,Total Positive Cases,Total Positive (Penang),Total Recover,Total Recover %,"Total ICU Cases
(Capacity 300)",ICU Usage,Total Death,"Total Active Cases
(Capacity 5262)",Bed Usage,*Daily Changes,Weekly Factor
  11-Mar(Wed),20,1,2,0,-,-,-,,-,-,-,-,-,-,0.0%,149,0,26,17%,2,1%,0,123,4%,-,-
  12-Mar(Thu),9,6,1,0,-,-,-,,-,-,-,-,-,-,0.0%,158,#REF!,32,20%,3,1%,0,126,4%,-11,-
  13-Mar(Fri),39,0,1,0,"3,985",-,-,,-,348,7.7%,"4,182","4,530",-,4.7%,197,#REF!,32,16%,4,1%,0,165,5%,30,-
  14-Mar(Sat),41,3,-3,0,"4,661",717,206%,676,5.7%,520,9.6%,"4,899","5,419",889,4.9%,238,#REF!,35,15%,1,0%,0,203,6%,2,-
  15-Mar(Sun),190,7,8,0,"4,780",309,59%,119,61.5%,641,11.0%,"5,208","5,849",430,8.2%,428,#REF!,42,10%,9,3%,0,386,11%,149,-
  16-Mar(Mon),125,0,3,0,"5,818","1,163",181%,"1,038",10.7%,811,11.3%,"6,371","7,182","1,333",8.7%,553,#REF!,42,8%,12,4%,0,511,15%,-65,-
  17-Mar(Tue),120,7,0,2,"6,169",471,58%,351,25.5%,"2,957",30.2%,"6,842","9,799","2,617",9.8%,673,#REF!,49,7%,12,4%,2,622,18%,-5,-
  18-Mar(Wed),117,11,3,0,"6,857",805,27%,688,14.5%,"3,297",30.1%,"7,647","10,944","1,145",10.3%,790,#REF!,60,8%,15,5%,2,728,21%,-3,5.92
  19-Mar(Thu),110,15,5,0,"7,985","1,238",38%,"1,128",8.9%,"3,515",28.3%,"8,885","12,400","1,456",10.1%,900,#REF!,75,8%,20,7%,2,823,24%,-7,6.53
  20-Mar(Fri),130,12,6,1,"9,113","1,258",36%,"1,128",10.3%,"3,733",26.9%,"10,143","13,876","1,476",10.2%,1030,#REF!,87,8%,26,9%,3,940,28%,20,5.70
  21-Mar(Sat),153,27,11,5,"9,113",153,4%,0,100.0%,"3,870",27.3%,"10,296","14,166",290,11.5%,1183,#REF!,114,10%,37,12%,8,"1,061",31%,23,5.23
  22-Mar(Sun),123,25,9,2,"9,969",979,25%,856,12.6%,"3,921",25.8%,"11,275","15,196","1,030",11.6%,1306,#REF!,139,11%,46,15%,10,"1,157",34%,-30,3.00
  23-Mar(Mon),212,20,11,4,"11,592","1,835",47%,"1,623",11.6%,"4,813",26.9%,"13,110","17,923","2,727",11.6%,1518,#REF!,159,10%,57,19%,14,"1,345",40%,89,2.63
  24-Mar(Tue),106,24,5,1,"11,970",484,10%,378,21.9%,"4,822",26.2%,"13,594","18,416",493,11.9%,1624,#REF!,183,11%,62,21%,15,"1,426",42%,-106,2.29
  25-Mar(Wed),172,16,-17,4,"14,024","2,226",46%,"2,054",7.7%,"5,041",24.2%,"15,820","20,861","2,445",11.4%,1796,#REF!,199,11%,45,15%,19,"1,578",30%,66,2.17
  26-Mar(Thu),235,16,0,4,"14,952","1,163",23%,928,20.2%,"4,902",22.4%,"16,983","21,885","1,024",12.0%,2031,#REF!,215,11%,45,15%,23,"1,793",34%,63,2.18
  27-Mar(Fri),130,44,9,3,"22,007","7,185",147%,"7,055",1.8%,"6,780",21.9%,"24,168","30,948","9,063",8.9%,2161,#REF!,259,12%,54,18%,26,"1,876",36%,-105,2.00
  28-Mar(Sat),159,61,19,1,"24,727","2,879",42%,"2,720",5.5%,"8,469",23.8%,"27,047","35,516","4,568",8.6%,2320,#REF!,320,14%,73,24%,27,"1,973",37%,29,1.86
  29-Mar(Sun),150,68,0,7,"26,991","2,414",29%,"2,264",6.2%,"8,213",21.8%,"29,461","37,674","2,158",8.4%,2470,#REF!,388,16%,73,24%,34,"2,048",39%,-9,1.77
